id,title,content,true_label
1,Stuning even for the non-gamer,This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impress anyone who cares to listen! ^_^,positive
2,Comfort and Ease,"I bought this mouse a while ago (approximately 3 years ago) and I still love it. It is easy to use, comfortable, and the trackball moves smoothly. The shape of the mouse also allows a wide thumb movement without having your hand slip off the mouse. The simplicity of the mouse is the best part. Somewhat difficult to clean as unidentifiable gunk sometimes gets stuck behind the trackball, but is easily accessible. I love this mouse.",positive
3,"easy to install, works perfectly",Arrived quickly. All parts were intact. Would of liked to have gotten installation instructions though along with the brakes. I used the owner's manual that we had kept when we had gotten the bike. That helped some since the brake was a little different. Other than that it was easy to install. It works perfectly. Like how the pads are adjustable.,positive
4,Very funny--Just a few boo-boo's,"A very funny book and I hope there is another in the series. But for the record, it's a ""conga"" line, not a ""rhumba"" line, and there were four versions of the Invasion of the Body Snatchers when this book was published, not just two.",positive
5,Acoustic Research speaker wire,The speaker wire was as advertised and works very well with my speakers. I would recommend it.,positive
6,Top 5,"I own over a hundred trance/progressive house CD's from Sasha, Digweed, Oakenfold, Deep Dish, Sander Kleinenberg, Danny Howells, etc. etc. etc. and this is in the top 5 of my entire collection. This grows on me with every listen and it hasn't left the CD player since I bought it when it was first released. If you liked CD1 of Nick Warren's 'Reykjavik', you will love this even more.",positive
7,"Great, great, great!","I love my nursery monitor! Crystal Clear is awesome! No static, I can hear the birds chirping in the tree in front of my son's window, and it's so inexpensive. It really is crystal clear. You don't need to look any further, and you don't need to waste your money on anything more expensive.",positive
8,Great and humerous book.,I loved this book. So much so I am reading two others by the author. It was funny in a dry way and held my attention from introduction to the last page. Not so much a story about dogs but the dog plays a key role in the story. I would strongly recommend this book for an interesting and humorous read.,positive
9,If you are hurting,"What a wonderful way to grieve and to be able to bear the burdens that have caused your emotions. Being one of low self-esteem all my life, it was devastating to me to have my dearest one walk away and not want to come back. This book helped me correct what was wrong with me, to learn to count the positives, and to reinstate a wonderful relationship at a much higher level. Try this along with TOXIC PARENTS to ease your pain.",positive
10,If you like solo drumming this disk will impress you.,My fortunate introduction to the dumbek. I never get tired of it,positive
11,Great!,Great product! Love this shampoo it means I no longer need to use conditoner and the best of all it doesn't leave my hair greasy!,positive
12,Error In item Description,"Just to warn potencial buyers, this item's description is in error! According to Cokin, the equivalents Cokin/ISO of the Blue series is: 020/80A, 021/80B, 022/80C (holds for both A and P series). Thus, this item should be titled: ""... Filter A021 80B (blue)A020"" Hope this note is usefull!",positive
13,Oral B Replacement brushes,I'm very satisfied with the Oral B electric tooth brush. These replacement brushes are the only ones available as far as I know. They are a little pricey but seem to stand up well for even longer than their rated performance.,positive
14,Excellent Non-Fiction Book,"This is one of the best non-fiction books that I have ever read. It gives a clear and thoughtful description of the details leading up to the Civil War and immediately after. I wish that I had this book when I was in school. I never liked history because it seemed like I was memorizing arbitrary dates and Amendments. If my history books had been written this well, it would have all made sense. This is a wonderful book for anyone's library.",positive
15,"Fun, fun!","My boys have a blast with this toy. They always want to make bugs. We did have an issue with the door sticking, but my husband rigged it so it would work again. This is a great toy for little boys who love bugs!",positive
